115,1952 Syracuse Grand Prix - grid,1952-03-15,1
116,1952 Syracuse Grand Prix,1952-03-16,2
117,1952 Gran Premio del Valentino - grid,1952-04-05,1
118,1952 Gran Premio del Valentino,1952-04-06,2
119,1952 Richmond Trophy - grid,1952-04-13,1
120,1952 Richmond Trophy,1952-04-14,2
121,1952 Pau Grand Prix - grid,1952-04-13,1
122,1952 Pau Grand Prix,1952-04-14,2
123,1952 Marseiile Grand Prix - grid,1952-04-26,1
124,1952 Marseiile Grand Prix,1952-04-27,2
125,1952 BRDC International Trophy - heat 1,1952-05-09,1
126,1952 BRDC International Trophy - heat 2,1952-05-09,1
127,1952 BRDC International Trophy,1952-05-10,2
128,1952 Swiss Grand Prix - qualifying,1952-05-17,3
129,1952 Swiss Grand Prix,1952-05-18,4
130,1952 Eifelrennen,1952-05-25,2
131,1952 Paris Grand Prix - grid,1952-05-24,1
132,1952 Paris Grand Prix,1952-05-25,2
133,1952 Grand Prix de l'Albigeois - grid,1952-05-31,1
134,1952 Grand Prix de l'Albigeois,1952-06-01,2
135,1952 Ulster Trophy - grid,1952-06-06,1
136,1952 Ulster Trophy,1952-06-07,2
137,1952 Monza Grand Prix - grid,1952-06-07,1
138,1952 Monza Grand Prix,1952-06-08,2
139,1952 Lac Grand Prix - grid,1952-06-07,1
140,1952 Lac Grand Prix,1952-06-08,2
141,1952 Belgian Grand Prix - qualifying,1952-06-21,3
142,1952 Belgian Grand Prix,1952-06-22,4
143,1952 Marne Grand Prix - grid,1952-06-28,1
144,1952 Marne Grand Prix,1952-06-29,2
145,1952 French Grand Prix - qualifying,1952-07-05,3
146,1952 French Grand Prix,1952-07-06,4
147,1952 Sable d'Olonne Grand Prix - grid,1952-07-12,1
148,1952 Sable d'Olonne Grand Prix,1952-07-13,2
149,1952 British Grand Prix - qualifying,1952-07-18,3
150,1952 British Grand Prix,1952-07-19,4
151,1952 Daily Mail Trophy - F2,1952-08-02,2
152,1952 Daily Mail Trophy - F1,1952-08-02,2
153,1952 German Grand Prix - qualifying,1952-08-02,3
154,1952 German Grand Prix,1952-08-03,4
155,1952 Comminges Grand Prix - grid,1952-08-09,1
156,1952 Comminges Grand Prix,1952-08-10,2
157,1952 Dutch Grand Prix - qualifying,1952-08-16,3
158,1952 Dutch Grand Prix,1952-08-17,4
159,1952 Baule Grand Prix - grid,1952-08-23,1
160,1952 Baule Grand Prix,1952-08-24,2
161,1952 Italian Grand Prix - qualifying,1952-09-06,3
162,1952 Italian Grand Prix,1952-09-07,4
163,1952 Modena Grand Prix - grid,1952-09-13,1
164,1952 Modena Grand Prix,1952-09-14,2
